display_title,opening_date,close_date,sentiment_score,production_budget,limited_opening_weekend_total_gross,wide_release_opening_weekend_total_gross,domestic_total_gross,foreign_total_gross,worldwide_total_gross,days_in_release,weeks_in_release,limited_release_theater,wide_release_theater,limited_release_dummy,wide_release_dummy,metacritic_score,user_score,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
The Bye Bye Man,1/13/2017,2/16/2017,0.965704992,7400000,0,13501349,22395806,4271391,26667197,35,5,,2220,0,1,37,3.3,,,,,,,,,,,
Downsizing,12/22/2017,2/1/2018,0.874170316,68000000,0,4954287,24449754,29474360,53924114,42,6,,2668,0,1,63,5.5,,,,,,,,,,,
Mother!,9/15/2017,10/26/2017,0.94709599,30000000,0,7534673,17800004,26716995,44516999,42,6,,2368,0,1,75,6.8,,,,,,,,,,,
The Circle,4/28/2017,6/8/2017,0.051400453,18000000,0,9034148,20497844,0,20497844,42,6,,3163,0,1,43,5,,,,,,,,,,,
All Eyez on Me,6/16/2017,8/3/2017,0.366068591,40000000,0,26435354,44922302,0,44922302,49,7,,2471,0,1,38,4.3,,,,,,,,,,,
Rings,2/3/2017,3/23/2017,0.2650017,25000000,0,13002632,27793018,55287872,83080890,49,7,,2931,0,1,25,3.9,,,,,,,,,,,
The Nut Job 2,8/11/2017,9/28/2017,0.005417249,40000000,0,8342311,28370522,36775498,36775498,49,7,,4003,0,1,36,4,,,,,,,,,,,
American Assassin,9/15/2017,11/9/2017,0.823880857,33000000,0,14846778,36249674,30426388,66676062,56,8,,3154,0,1,45,5.8,,,,,,,,,,,
Father Figures,12/22/2017,2/15/2018,0.027943712,0,0,3287451,17501244,6600000,24101244,56,8,,2902,0,1,22,3.2,,,,,,,,,,,
Fifty Shades Darker,2/10/2017,4/6/2017,0.58011003,55000000,0,46607250,114581250,266547533,381128783,56,8,,3714,0,1,33,3,,,,,,,,,,,
Fist Fight,2/17/2017,4/13/2017,0.800154686,0,0,12201873,32187017,8900000,41087017,56,8,,3185,0,1,37,5.1,,,,,,,,,,,
Ghost in the Shell,3/31/2017,5/25/2017,0.948943457,110000000,0,18676033,40563557,129238364,169801921,56,8,,3440,0,1,52,6.8,,,,,,,,,,,
How to Be a Latin Lover,4/28/2017,6/22/2017,0.881274117,0,0,12252439,32149404,29731968,61881372,56,8,,1203,0,1,54,5.4,,,,,,,,,,,
Sleepless,1/13/2017,3/9/2017,0.346306234,0,0,8344128,20783704,12129877,32913581,56,8,,1803,0,1,34,4.2,,,,,,,,,,,
Tyler Perry's Boo 2! A Madea Halloween,10/20/2017,12/14/2017,0.015864434,25000000,0,21226953,47319572,1014360,48333932,56,8,,2388,0,1,17,2.1,,,,,,,,,,,
XXX: Return of Xander Cage,1/20/2017,3/16/2017,0.408731365,85000000,0,20130142,44898413,301249245,346147658,56,8,,3651,0,1,42,4.8,,,,,,,,,,,
Pitch Perfect 3,12/22/2017,3/8/2018,0.1972989,45000000,0,19928525,104897530,79000000,183897530,60,8.6,,3468,0,1,40,5.8,,,,,,,,,,,
CHIPS,3/24/2017,5/25/2017,0.037541236,25000000,0,7722802,18600152,8200000,26800152,63,9,,2464,0,1,28,4.2,,,,,,,,,,,
Happy Death Day,10/13/2017,12/14/2017,0.484635514,4800000,0,26039025,55683845,66954033,122637878,63,9,,3535,0,1,57,6.6,,,,,,,,,,,
Home Again,9/8/2017,11/9/2017,0.223004171,12000000,0,8567881,27020284,0,27020284,63,9,,3036,0,1,41,5.5,,,,,,,,,,,
Monster Trucks,1/13/2017,3/16/2017,0.804385763,0,0,10950705,33370166,31123749,64493915,63,9,,3119,0,1,41,5.4,,,,,,,,,,,
Resident Evil: The Final Chapter,1/27/2017,3/30/2017,0.953235679,40000000,0,13601682,26830068,285412558,312242626,63,9,,3104,0,1,49,5.1,,,,,,,,,,,
The House,6/30/2017,8/31/2017,0.328582471,40000000,0,8724795,25584504,8600000,34184504,63,9,,3134,0,1,30,4.2,,,,,,,,,,,
Underworld: Blood Wars,1/6/2017,3/9/2017,0.152292961,35000000,0,13688751,30353973,50739340,81093313,63,9,,3070,0,1,23,5.3,,,,,,,,,,,
Baywatch,5/25/2017,7/27/2017,0.190532135,69000000,0,18503871,58060186,119796565,177856751,64,9.1,,3647,0,1,37,4.5,,,,,,,,,,,
Transformers: The Last Knight,6/21/2017,8/24/2017,0.619484787,217000000,0,44680073,130168683,130168683,605425157,65,9.3,,4132,0,1,27,4,,,,,,,,,,,
Atomic Blonde,7/28/2017,10/5/2017,0.975085837,30000000,0,18286420,51687870,44100000,95787870,70,10,,3326,0,1,63,6.6,,,,,,,,,,,
"Everything, Everything",5/19/2017,7/27/2016,0.977952724,10000000,0,11727390,34121140,27500000,61621140,70,10,,2801,0,1,52,4.9,,,,,,,,,,,
King Arthur: Legend of the Sword,5/12/2017,7/20/2017,0.613898361,175000000,0,15371270,39175066,109500000,148675066,70,10,,3702,0,1,41,7.2,,,,,,,,,,,
Life,3/24/2017,6/1/2017,0.578420786,58000000,0,12501936,30234022,70307784,100541806,70,10,,3146,0,1,54,6.3,,,,,,,,,,,
Power Rangers,3/24/2017,6/1/2017,0.700464934,100000000,0,40300288,85364450,56972790,142337240,70,10,,3693,0,1,44,6.9,,,,,,,,,,,
The Foreigner,10/13/2017,12/21/2017,0.332376486,35000000,0,13113024,34393507,110980592,145374099,70,10,,2515,0,1,55,7,,,,,,,,,,,
The Lego Ninjago Movie,9/22/2017,11/30/2017,0.019993692,0,0,20433071,59281555,63800000,123081555,70,10,,4047,0,1,55,5,,,,,,,,,,,
A Bad Moms Christmas,11/1/2017,1/11/2018,0.004272824,28000000,0,16759161,72110659,58449769,130560428,72,10.3,,3615,0,1,42,4.5,,,,,,,,,,,
All the Money in the World,12/25/2017,3/4/2018,0.992951402,0,0,5584684,25076259,28800000,53876259,77,11,,2123,0,1,72,6.4,7127696,9454213,5244151,1903031,576816,324548,195989,92130,59691,44820,14467
American Made,9/29/2017,12/14/2017,0.302862015,50000000,0,16776390,51342000,83524593,134866593,77,11,,3098,0,1,65,6.9,22371960,12357905,7611870,4463465,2374635,1123060,614520,221975,92335,62680,47595
John Wick: Chapter 2,2/10/2017,4/27/2017,0.849651765,0,0,30436123,92029184,79510703,171539887,77,11,,3113,0,1,75,8.1,42192083,23220617,12728272,6582239,3867593,1803203,671914,314676,217537,248254,182796
Rough Night,6/16/2017,8/31/2017,0.016820001,20000000,0,8004283,22105643,25241640,47347283,77,11,,3162,0,1,51,4.6,11934947,7130700,2167555,454105,154016,45108,34075,54096,54219,48883,27939
The Dark Tower,8/4/2017,10/18/2017,0.232640537,60000000,0,19153698,50701325,62520585,113221910,77,11,,3451,0,1,34,4.3,26430764,11453614,5435197,2512319,2321567,1011644,990370,274673,160982,78054,32141
The Hitman's Bodyguard,8/18/2017,11/2/2017,0.407265523,30000000,0,21384504,75468583,101118118,176586701,77,11,,3377,0,1,47,6.4,29564004,15130210,15352793,6760033,4940939,2197149,906544,252213,112710,152015,99973
The Mountain Between Us,10/6/2017,12/21/2017,0.514841386,35000000,0,10551336,30348555,32476802,62825357,77,11,,3259,0,1,48,5,14852922,7925963,3942958,1772944,681134,380221,179660,128155,82334,342534,59730
The Mummy,6/9/2017,8/24/2017,0.447652099,125000000,0,31688375,80227895,329003712,409231607,77,11,,4035,0,1,34,4.8,38718715,20072970,9033170,5093430,1813760,559775,345890,278805,204475,88150,0
The Shack,3/3/2017,5/18/2017,0.581109814,0,0,16172119,57386418,39555697,96942115,77,11,,2888,0,1,32,5.3,22218691,14265939,8802414,5627963,2943871,1565182,1006629,401025,249417,123092,182195
Phantom Thread,12/25/2017,,0.946078899,0,216495,3246720,20812420,20700000,41512420,81,11.6,4,1186,1,0,90,7.7,,,,,,,,,,,
Annabelle: Creation,8/11/2017,11/2/2017,0.360385033,15000000,0,35006404,102092201,204423683,306515884,85,12,,3565,0,1,62,6.8,,,,,,,,,,,
Geostorm,10/20/2017,1/11/2017,0.838389169,120000000,0,13707376,33700160,187700000,221400160,84,12,,3246,0,1,21,4,,,,,,,,,,,
Logan Lucky,8/18/2017,11/9/2017,0.914661035,29000000,0,7600036,27780977,19620083,47401060,84,12,,3031,0,1,78,6.8,,,,,,,,,,,
Snatched,5/12/2017,8/3/2017,0.001507592,42000000,0,19542248,45852178,14993533,60845711,84,12,,3511,0,1,45,2.8,,,,,,,,,,,
The Zookeeper's Wife,3/31/2017,6/22/2017,0.408967436,0,3288835,2684185,17571660,5727421,23299081,84,12,541,1057,1,0,57,7.3,,,,,,,,,,,
Jumanji: Welcome to the Jungle,12/20/2017,,0.515885392,90000000,0,36169328,398623598,539427455,938051053,86,12.3,,3849,0,1,58,6.7,,,,,,,,,,,
The Greatest Showman,12/20/2017,,0.209168773,84000000,0,8805843,168569618,221986017,390555635,86,12.3,,3342,0,1,48,7.6,,,,,,,,,,,
Diary of a Wimpy Kid: The Long Haul,5/19/2017,8/17/2017,0.096803828,22000000,0,7126084,20738724,19402248,40140972,91,13,,3174,0,1,39,3.4,,,,,,,,,,,
Ferdinand,12/15/2017,,0.860156238,111000000,0,13401586,83559363,207498632,291057995,91,13,,3630,0,1,58,6.7,,,,,,,,,,,
Girls Trip,7/21/2017,10/18/2017,0.901928098,19000000,0,31201920,115171585,24901769,140073354,91,13,,2648,0,1,71,5.4,,,,,,,,,,,
Star Wars: The Last Jedi,12/15/2017,,0.998163807,0,0,220009584,619616617,712216034,1331832651,91,13,,4232,0,1,85,4.5,,,,,,,,,,,
Wonder,11/17/2017,,0.98870248,0,0,27547866,132329356,165675679,298005035,95,13.6,,3519,0,1,66,7.8,,,,,,,,,,,
Daddy's Home 2,11/10/2017,2/15/2017,0.139706696,69000000,0,29651193,104029443,76583737,180613180,98,14,,3575,0,1,30,5.6,,,,,,,,,,,
Going in Style,4/7/2017,7/13/2017,0.993806357,25000000,0,11932330,45018541,39900000,84918541,98,14,,3076,0,1,50,5.9,,,,,,,,,,,
"I, Tonya",12/8/2017,,0.358217428,0,264155,2861168,29633645,0,29633645,98,14,4,1450,1,0,77,7.7,,,,,,,,,,,
It,9/8/2017,12/12/2017,0.996046755,35000000,0,123403419,327481748,372900000,700381748,98,14,,4148,0,1,69,7.8,,,,,,,,,,,
Kong: Skull Island,3/10/2017,6/15/2017,0.991088905,185000000,0,61025472,168052812,398600000,566652812,98,14,,3846,0,1,62,6.6,,,,,,,,,,,
The Disaster Artist,12/8/2017,3/8/2018,0.521511942,0,1211345,6366242,21120616,8400000,29520616,98,14,19,1010,1,0,76,7.7,,,,,,,,,,,
Alien: Covenant,5/19/2017,8/31/2017,0.980663995,97000000,0,36160621,74262031,166483733,240745764,105,15,,3772,0,1,65,5.9,,,,,,,,,,,
Kidnap,8/4/2017,11/16/2017,0.991892719,21000000,0,10016323,30718107,0,30718107,105,15,,2418,0,1,44,4.7,,,,,,,,,,,
Kingsman: The Golden Circle,9/22/2017,1/4/2018,0.679351456,104000000,0,39023010,100234838,310074573,410309411,105,15,,4038,0,1,44,6.5,,,,,,,,,,,
Leap!,8/25/2017,12/7/2017,0.861270702,0,0,4730038,24702560,81352927,106055487,105,15,,2705,0,1,48,6.3,,,,,,,,,,,
Only the Brave,10/20/2017,2/1/2018,0.99540881,38000000,0,6002665,18343983,4753528,23097511,105,15,,2577,0,1,72,7.4,,,,,,,,,,,
The Great Wall,2/17/2017,6/1/2017,0.826450062,150000000,0,18469620,45540830,289393001,334933831,105,15,,3328,0,1,42,5.8,,,,,,,,,,,
Victoria and Abdul,9/22/2017,1/4/2018,0.778631947,0,158845,4171870,22245070,43176197,65421267,105,15,4,1060,1,0,58,5.8,,,,,,,,,,,
Murder on the Orient Express,11/10/2017,,0.908902282,55000000,0,28681472,102826543,247683061,350509604,112,16,,3354,0,1,52,6.4,,,,,,,,,,,
Split,1/20/2017,5/11/2017,0.112037656,9000000,0,40010975,138291365,140162993,278454358,112,16,,3373,0,1,62,7,,,,,,,,,,,
Baby Driver,6/28/2017,10/19/2017,0.981442663,34000000,0,20553320,107825862,119119225,226945087,114,16.3,,3226,0,1,86,7.7,,,,,,,,,,,
Coco,11/22/2017,,0.998959361,0,0,50802605,208986379,540010749,748997128,114,16.3,,3987,0,1,81,8.1,,,,,,,,,,,
Darkest Hour,11/22/2017,,0.996478906,0,175006,3891945,56206445,86500000,142706445,114,16.3,4,1733,1,0,75,7.2,,,,,,,,,,,
Beauty and the Beast,3/17/2017,7/12/2017,0.980820931,160000000,0,174750616,504014165,759506961,1263521126,119,17,,4210,0,1,65,6.8,,,,,,,,,,,
Blade Runner 2049,10/6/2017,2/1/2018,0.997234936,150000000,0,32753122,92054159,167185499,259239658,119,17,,4058,0,1,81,8.1,,,,,,,,,,,
Justice League,11/17/2017,3/15/2018,0.364748352,0,0,93842239,229024295,428900000,657924295,119,17,,4051,0,1,45,6.7,,,,,,,,,,,
Pirates of the Caribbean: Dead Men Tell No Tales,5/26/2017,9/21/2017,0.006018927,230000000,0,62983253,172558876,622302918,794861794,119,17,,4276,0,1,39,6.2,,,,,,,,,,,
The Fate of the Furious,4/14/2017,8/10/2017,0.971771982,250000000,0,98786705,226008385,1009996733,1236005118,199,17,,4329,0,1,56,6.9,,,,,,,,,,,
The Lego Batman Movie,2/10/2017,6/8/2017,0.948760605,80000000,0,53003468,175750384,136200000,311950384,119,17,,4088,0,1,75,7.6,,,,,,,,,,,
The Big Sick,7/14/2017,10/22/2017,0.699095636,0,421577,7563040,42873127,13227885,56101012,122,17.4,5,2597,1,0,86,6.9,,,,,,,,,,,
Dunkirk,7/21/2017,11/23/2017,0.999074015,100000000,0,50513488,188373161,337200000,525573161,126,18,,4014,0,1,94,8.4,,,,,,,,,,,
The Emoji Movie,7/28/2017,11/30/2017,0.055979467,50000000,0,24531923,86089513,131165718,217255231,126,18,,4075,0,1,12,1.9,,,,,,,,,,,
Wind River,8/4/2017,12/7/2017,0.988745723,11000000,161558,2975732,33800859,0,33800859,126,18,4,2890,1,0,73,7.7,,,,,,,,,,,
"Three Billboards Outside Ebbing, Missouri",11/10/2017,,0.710928004,0,322168,4396537,53697624,91056924,144754548,127,18.1,4,1726,1,0,88,7.5,,,,,,,,,,,
Lady Bird,11/3/2017,,0.742620673,0,364437,4057559,48777265,16200000,64977265,133,19,4,1557,1,0,94,7.3,,,,,,,,,,,
Logan,3/3/2017,7/13/2017,0.691398619,97000000,0,88411916,226277068,390518532,616795600,133,19,,4071,0,1,77,8.4,,,,,,,,,,,
Thor: Ragnarok,11/3/2017,3/15/2018,0.718580371,180000000,0,122744989,315058289,539194404,854252693,133,19,,4080,0,1,74,7.7,,,,,,,,,,,
Cars 3,6/16/2017,11/2/2017,0.978736373,0,0,53688680,152901115,230988036,383889151,140,20,,4256,0,1,59,6.9,,,,,,,,,,,
Gifted,4/7/2017,8/24/2017,0.68094886,7000000,446380,3090633,24801212,18245378,43046590,140,20,56,2215,1,0,60,7.6,,,,,,,,,,,
Guardians of the Galaxy Vol. 2,5/5/2017,9/21/2017,0.920377578,200000000,0,146510104,389813101,473942950,863756051,140,20,,4347,0,1,67,7.7,,,,,,,,,,,
War for the Planet of the Apes,7/14/2017,11/30/2017,0.999839619,150000000,0,56262929,146880162,343784076,490664238,140,20,,4100,0,1,82,8.1,,,,,,,,,,,
Spider-Man: Homecoming,7/7/2017,11/30/2017,0.20219816,175000000,0,117027503,334201140,545965784,880166924,147,21,,4348,0,1,73,7.7,,,,,,,,,,,
Captain Underpants: The First Epic Movie,6/2/2017,11/2/2017,0.918267537,38000000,0,23851539,73921000,51506681,125427681,161,23,,3529,0,1,69,6.8,,,,,,,,,,,
Wonder Woman,6/2/2017,2/9/2017,0.965885716,149000000,0,103251471,412563408,409283604,821847012,161,23,,4165,0,1,76,7.8,,,,,,,,,,,
Despicable Me 3,6/30/2017,12/21/2017,0.561113802,80000000,0,72434025,264624300,770175109,1034799409,175,25,,4535,0,1,49,5.7,,,,,,,,,,,
The Boss Baby,3/31/2017,11/2/2017,0.812439544,0,0,50198902,175003033,323925250,498928283,224,32,,3829,0,1,50,5.4,,,,,,,,,,,
Get Out,2/24/2017,2/15/2018,0.998633531,4500000,0,33377060,176040665,78976664,255017329,294,42,,3143,0,1,84,7.2,,,,,,,,,,,
47 Meters Down,6/16/2017,10/19/2017,0.018362532,5500000,0,11205561,44307192,0,44307192,,,,2471,0,1,52,4.8,,,,,,,,,,,
Valerian,7/21/2017,9/21/2017,0.545672328,177200000,0,17007624,41189488,184684740,225874228,,,,3553,0,1,51,6.4,,,,,,,,,,,
